timestamp,IP,fullLog,alertID,alertName,rule_firedtimes,affectedLogAtomValues,generalAlertType,CPU_NewAvg,CPU_NewN,CPU_NewVar,CPU_OldAvg,CPU_OldN,CPU_OldVar,CPU_Range,DNS_expected_frequency,DNS_expected_frequencyRange,DNS_frequency
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],14,AMiner: New service_start parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],15,AMiner: New service_stop parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],16,AMiner: New login parameter combination in Audit logs.,/,"['None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],17,AMiner: New cred_refr parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],18,AMiner: New user_start parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],19,AMiner: New user_acct parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],20,AMiner: New user_auth parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],21,AMiner: New user_login parameter combination in Audit logs.,/,"['None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],22,AMiner: New cred_disp parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
